InternshipID,Title,Description,Sector,Subsector,RequiredSkills,EducationLevel,Location,Mode,Duration,Language,Stipend,ToolsUsed,Tags,ExperienceLevel,LastDateToApply
INT0027,Field Operations Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Tasks are structured and explained; no prior internship experience required. Learn important skills and build a small project while working with the team.","Oil, Gas & Energy",Pipeline Operations,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",12th Pass,Lucknow,Hybrid,6 Months,"English, Hindi",3000/month,"Power BI, Postman, Zoom","Skill Development, Government Scheme Aligned",Intermediate,17-12-25
INT0028,Process Engineering Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Field visits or remote tasks may be included depending on the project. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Pipeline Operations,"Process Simulation, AutoCAD, MS Office, Data Analysis",UG,Lucknow,Hybrid,4 Months,English,15000/month,"VS Code, AutoCAD, Jupyter","Government Scheme Aligned, Women Preferred",Intermediate,08-03-26
INT0029,Field Operations Intern,"Field visits or remote tasks may be included depending on the project. Good for first-time interns, this role focuses on simple, guided tasks.","Oil, Gas & Energy",Power Systems,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",PG,Bengaluru,Online,4 Months,English,10000/month,"Postman, Figma, Jupyter","Women Preferred, Paid Internship",Intermediate,25-02-26
INT0030,Renewable Energy Analyst Intern,"You will get support from a mentor and clear daily tasks to follow. Field visits or remote tasks may be included depending on the project. Good for first-time interns, this role focuses on simple, guided tasks.","Oil, Gas & Energy",Pipeline Operations,"Energy Modelling, Excel, Power Systems, MATLAB",UG,Delhi,Offline,2 Months,English,3000/month,"Figma, MATLAB, Tableau","Women Preferred, Remote Friendly",Beginner,01-11-25
INT0031,Process Engineering Intern,"Learn important skills and build a small project while working with the team. Field visits or remote tasks may be included depending on the project. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"Process Simulation, AutoCAD, MS Office, Data Analysis",UG,"Nanded, Maharashtra",Offline,5 Months,"English, Marathi",15000/month,"Tableau, Trello, Postman","Women Preferred, Beginner Friendly",Intermediate,30-01-26
INT0032,Field Operations Intern,Field visits or remote tasks may be included depending on the project. Entry-level friendly role with practical exposure and regular feedback.,"Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,Pune,Online,6 Months,"English, Hindi",5000/month,"Slack, Zoom, JIRA","Field Work, Government Scheme Aligned",Beginner,08-11-25
INT0033,Process Engineering Intern,Tasks are structured and explained; no prior internship experience required. This Process Engineering Intern at Reliance Industries provides hands-on learning and mentorship. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Power Systems,"Process Simulation, AutoCAD, MS Office, Data Analysis",12th Pass,Lucknow,Offline,1 Month,"English, Hindi",3000/month,"Postman, Trello, Figma","Remote Friendly, Skill Development",Intermediate,25-02-26
INT0034,Field Operations Intern,"Tasks are structured and explained; no prior internship experience required. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,Chandigarh,Offline,2 Months,English,5000/month,"Trello, Docker, Git","Skill Development, Rural Outreach",Intermediate,12-01-26
INT0035,Process Engineering Intern,"Entry-level friendly role with practical exposure and regular feedback. You will get support from a mentor and clear daily tasks to follow. Good for first-time interns, this role focuses on simple, guided tasks.","Oil, Gas & Energy",Power Systems,"Process Simulation, AutoCAD, MS Office, Data Analysis",PG,Bhopal,Online,6 Months,English,8000/month,"VS Code, Docker, Postman","Remote Friendly, Rural Outreach",Beginner,24-11-25
INT0036,Field Operations Intern,This Field Operations Intern at NTPC provides hands-on learning and mentorship. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",PG,Patna,Offline,2 Months,English,15000/month,"Jupyter, Figma, AutoCAD","Remote Friendly, Skill Development",Beginner,03-12-25
INT0037,Renewable Energy Analyst Intern,This Renewable Energy Analyst Intern at Reliance Industries provides hands-on learning and mentorship. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Pipeline Operations,"Energy Modelling, Excel, Power Systems, MATLAB",UG,Bengaluru,Offline,6 Months,English,5000/month,"Figma, JIRA, VS Code","Beginner Friendly, Skill Development",Intermediate,19-12-25
INT0038,Process Engineering Intern,Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Power Systems,"Process Simulation, AutoCAD, MS Office, Data Analysis",Diploma,Chandigarh,Hybrid,6 Months,English,15000/month,"Slack, Jupyter, MATLAB","Government Scheme Aligned, Skill Development",Intermediate,31-10-25
INT0039,Process Engineering Intern,"Tasks are structured and explained; no prior internship experience required. Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Pipeline Operations,"Process Simulation, AutoCAD, MS Office, Data Analysis",12th Pass,Raipur,Offline,4 Months,English,0/month,"Trello, JIRA, AutoCAD","Women Preferred, Field Work",Beginner,15-11-25
INT0040,Process Engineering Intern,"Tasks are structured and explained; no prior internship experience required. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Power Systems,"Process Simulation, AutoCAD, MS Office, Data Analysis",Diploma,Pune,Offline,4 Months,English,3000/month,"Figma, Docker, Power BI","Skill Development, Rural Outreach",Beginner,23-12-25
INT0041,Field Operations Intern,"Tasks are structured and explained; no prior internship experience required. Good for first-time interns, this role focuses on simple, guided tasks. This Field Operations Intern at NTPC provides hands-on learning and mentorship.","Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",Diploma,Ranchi,Hybrid,1 Month,"English, Hindi",10000/month,"Slack, Jupyter, Postman","Skill Development, Paid Internship",Beginner,01-12-25
INT0042,Field Operations Intern,"Learn important skills and build a small project while working with the team. Work on small projects and learn practical tools used in the oil, gas & energy sector. This Field Operations Intern at Reliance Industries provides hands-on learning and mentorship.","Oil, Gas & Energy",Pipeline Operations,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,Pune,Offline,5 Months,"English, Hindi",10000/month,"JIRA, Trello, MATLAB","Field Work, Rural Outreach",Intermediate,09-12-25
INT0043,Renewable Energy Analyst Intern,"Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Power Systems,"Energy Modelling, Excel, Power Systems, MATLAB",12th Pass,Guwahati,Online,2 Months,English,15000/month,"Docker, Zoom, MATLAB","Government Scheme Aligned, Remote Friendly",Intermediate,15-12-25
INT0044,Renewable Energy Analyst Intern,"Tasks are structured and explained; no prior internship experience required. Good for first-time interns, this role focuses on simple, guided tasks. You will get support from a mentor and clear daily tasks to follow.","Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",UG,Hyderabad,Hybrid,3 Months,English,15000/month,"VS Code, AutoCAD, Docker","Beginner Friendly, Skill Development",Beginner,12-12-25
INT0045,Renewable Energy Analyst Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required. This Renewable Energy Analyst Intern at NTPC provides hands-on learning and mentorship.","Oil, Gas & Energy",Pipeline Operations,"Energy Modelling, Excel, Power Systems, MATLAB",PG,Patna,Offline,4 Months,English,0/month,"Power BI, AutoCAD, Figma","Remote Friendly, Beginner Friendly",Beginner,22-02-26
INT0046,Field Operations Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Entry-level friendly role with practical exposure and regular feedback.","Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,Ranchi,Offline,4 Months,"English, Hindi",5000/month,"Postman, Power BI, Trello","Government Scheme Aligned, Women Preferred",Intermediate,06-03-26
INT0047,Field Operations Intern,Tasks are structured and explained; no prior internship experience required. This Field Operations Intern at Tata Power provides hands-on learning and mentorship. Entry-level friendly role with practical exposure and regular feedback.,"Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",12th Pass,Pune,Online,1 Month,English,8000/month,"Docker, MATLAB, Power BI","Women Preferred, Rural Outreach",Beginner,13-12-25
INT0048,Field Operations Intern,You will get support from a mentor and clear daily tasks to follow. Field visits or remote tasks may be included depending on the project.,"Oil, Gas & Energy",Power Systems,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,"Wayanad, Kerala",Online,4 Months,"English, Malayalam",0/month,"Tableau, Slack, AutoCAD","Rural Outreach, Women Preferred",Intermediate,19-10-25
INT0049,Process Engineering Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Learn important skills and build a small project while working with the team. This Process Engineering Intern at Tata Power provides hands-on learning and mentorship.","Oil, Gas & Energy",Power Systems,"Process Simulation, AutoCAD, MS Office, Data Analysis",PG,"Bageshwar, Uttarakhand",Offline,1 Month,"English, Hindi",8000/month,"MATLAB, Zoom, Postman","Skill Development, Rural Outreach",Beginner,04-02-26
INT0050,Process Engineering Intern,"Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"Process Simulation, AutoCAD, MS Office, Data Analysis",UG,Delhi,Hybrid,5 Months,English,10000/month,"Git, Figma, AutoCAD","Government Scheme Aligned, Women Preferred",Beginner,14-11-25
INT0051,Credit Analysis Intern,Tasks are structured and explained; no prior internship experience required. This Credit Analysis Intern at Kotak Mahindra Bank provides hands-on learning and mentorship.,Banking & Financial Services,Risk,"Accounting, Financial Statement Analysis, Excel, Communication",PG,Patna,Offline,3 Months,"English, Hindi",15000/month,"Jupyter, VS Code, JIRA","Skill Development, Field Work",Beginner,11-01-26
INT0052,Credit Analysis Intern,Tasks are structured and explained; no prior internship experience required. Field visits or remote tasks may be included depending on the project. This Credit Analysis Intern at State Bank of India provides hands-on learning and mentorship.,Banking & Financial Services,Retail Banking,"Accounting, Financial Statement Analysis, Excel, Communication",12th Pass,"Gadchiroli, Maharashtra",Hybrid,1 Month,"English, Marathi",15000/month,"Postman, Tableau, Docker","Skill Development, Remote Friendly",Beginner,01-01-26
INT0053,Credit Analysis Intern,Work on small projects and learn practical tools used in the banking & financial services sector. Tasks are structured and explained; no prior internship experience required. This Credit Analysis Intern at Axis Bank provides hands-on learning and mentorship.,Banking & Financial Services,Risk,"Accounting, Financial Statement Analysis, Excel, Communication",12th Pass,Hyderabad,Online,1 Month,"English, Hindi",15000/month,"Power BI, Figma, Slack","Rural Outreach, Women Preferred",Beginner,19-02-26
INT0054,Risk Analytics Intern,Work on small projects and learn practical tools used in the banking & financial services sector. You will get support from a mentor and clear daily tasks to follow.,Banking & Financial Services,Risk,"Excel, Financial Modelling, SQL, Power BI",UG,Chandigarh,Offline,4 Months,"English, Hindi",8000/month,"Slack, Docker, Tableau","Rural Outreach, Paid Internship",Beginner,03-03-26
INT0055,Credit Analysis Intern,Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow. Work on small projects and learn practical tools used in the banking & financial services sector.,Banking & Financial Services,FinTech,"Accounting, Financial Statement Analysis, Excel, Communication",Diploma,Delhi,Hybrid,5 Months,"English, Hindi",15000/month,"Docker, VS Code, Postman","Women Preferred, Rural Outreach",Beginner,17-02-26
INT0056,Risk Analytics Intern,This Risk Analytics Intern at Axis Bank provides hands-on learning and mentorship. Work on small projects and learn practical tools used in the banking & financial services sector. Learn important skills and build a small project while working with the team.,Banking & Financial Services,FinTech,"Excel, Financial Modelling, SQL, Power BI",Diploma,"Nabarangpur, Odisha",Offline,1 Month,"English, Odia",5000/month,"MATLAB, Docker, Postman","Skill Development, Paid Internship",Advanced,08-11-25
INT0057,Credit Analysis Intern,Field visits or remote tasks may be included depending on the project. Entry-level friendly role with practical exposure and regular feedback. This Credit Analysis Intern at HDFC Bank provides hands-on learning and mentorship.,Banking & Financial Services,Risk,"Accounting, Financial Statement Analysis, Excel, Communication",PG,Lucknow,Online,6 Months,"English, Hindi",3000/month,"Trello, AutoCAD, VS Code","Beginner Friendly, Paid Internship",Intermediate,07-12-25
INT0058,FinTech Product Intern,"Work on small projects and learn practical tools used in the banking & financial services sector. Good for first-time interns, this role focuses on simple, guided tasks.",Banking & Financial Services,Retail Banking,"Product Research, SQL, Wireframing, JIRA",Diploma,Kolkata,Hybrid,1 Month,"English, Hindi",10000/month,"Jupyter, Slack, AutoCAD","Government Scheme Aligned, Beginner Friendly",Intermediate,20-01-26
INT0059,FinTech Product Intern,You will get support from a mentor and clear daily tasks to follow. This FinTech Product Intern at State Bank of India provides hands-on learning and mentorship.,Banking & Financial Services,FinTech,"Product Research, SQL, Wireframing, JIRA",PG,Delhi,Offline,3 Months,English,5000/month,"Trello, VS Code, Slack","Skill Development, Government Scheme Aligned",Intermediate,16-11-25
INT0060,Credit Analysis Intern,"Work on small projects and learn practical tools used in the banking & financial services sector. Good for first-time interns, this role focuses on simple, guided tasks.",Banking & Financial Services,Risk,"Accounting, Financial Statement Analysis, Excel, Communication",UG,Guwahati,Online,4 Months,English,15000/month,"Zoom, Docker, Postman","Remote Friendly, Skill Development",Beginner,13-12-25
INT0061,FinTech Product Intern,Learn important skills and build a small project while working with the team. This FinTech Product Intern at State Bank of India provides hands-on learning and mentorship. Entry-level friendly role with practical exposure and regular feedback.,Banking & Financial Services,Risk,"Product Research, SQL, Wireframing, JIRA",UG,Lucknow,Offline,3 Months,"English, Hindi",3000/month,"Trello, Docker, Jupyter","Paid Internship, Women Preferred",Beginner,25-02-26
INT0062,Credit Analysis Intern,You will get support from a mentor and clear daily tasks to follow. Entry-level friendly role with practical exposure and regular feedback. This Credit Analysis Intern at HDFC Bank provides hands-on learning and mentorship.,Banking & Financial Services,FinTech,"Accounting, Financial Statement Analysis, Excel, Communication",UG,Raipur,Hybrid,6 Months,English,8000/month,"Postman, Zoom, Slack","Field Work, Beginner Friendly",Intermediate,08-03-26
INT0063,FinTech Product Intern,Learn important skills and build a small project while working with the team. Field visits or remote tasks may be included depending on the project. Work on small projects and learn practical tools used in the banking & financial services sector.,Banking & Financial Services,Risk,"Product Research, SQL, Wireframing, JIRA",Diploma,Lucknow,Hybrid,2 Months,"English, Hindi",0/month,"Zoom, JIRA, MATLAB","Skill Development, Beginner Friendly",Beginner,16-02-26
INT0064,Credit Analysis Intern,Field visits or remote tasks may be included depending on the project. This Credit Analysis Intern at State Bank of India provides hands-on learning and mentorship.,Banking & Financial Services,Risk,"Accounting, Financial Statement Analysis, Excel, Communication",UG,Kolkata,Offline,1 Month,English,3000/month,"Figma, Slack, AutoCAD","Skill Development, Women Preferred",Intermediate,02-01-26
INT0065,FinTech Product Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Entry-level friendly role with practical exposure and regular feedback. This FinTech Product Intern at HDFC Bank provides hands-on learning and mentorship.",Banking & Financial Services,FinTech,"Product Research, SQL, Wireframing, JIRA",UG,Raipur,Hybrid,4 Months,"English, Hindi",15000/month,"JIRA, Jupyter, AutoCAD","Paid Internship, Women Preferred",Beginner,21-02-26
INT0066,Credit Analysis Intern,"You will get support from a mentor and clear daily tasks to follow. Good for first-time interns, this role focuses on simple, guided tasks. Entry-level friendly role with practical exposure and regular feedback.",Banking & Financial Services,Retail Banking,"Accounting, Financial Statement Analysis, Excel, Communication",UG,Bengaluru,Online,3 Months,English,8000/month,"Jupyter, Postman, Slack","Rural Outreach, Paid Internship",Beginner,16-02-26
INT0067,Credit Analysis Intern,"This Credit Analysis Intern at Axis Bank provides hands-on learning and mentorship. Good for first-time interns, this role focuses on simple, guided tasks. You will get support from a mentor and clear daily tasks to follow.",Banking & Financial Services,Retail Banking,"Accounting, Financial Statement Analysis, Excel, Communication",UG,"Nanded, Maharashtra",Online,6 Months,"English, Marathi",5000/month,"Slack, Docker, Figma","Paid Internship, Skill Development",Beginner,03-01-26
INT0068,Risk Analytics Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project.",Banking & Financial Services,Retail Banking,"Excel, Financial Modelling, SQL, Power BI",12th Pass,Pune,Online,3 Months,English,3000/month,"VS Code, Figma, Power BI","Paid Internship, Remote Friendly",Intermediate,19-02-26
INT0069,Credit Analysis Intern,Entry-level friendly role with practical exposure and regular feedback. Field visits or remote tasks may be included depending on the project.,Banking & Financial Services,Retail Banking,"Accounting, Financial Statement Analysis, Excel, Communication",UG,Ranchi,Online,2 Months,"English, Hindi",10000/month,"Zoom, Figma, VS Code","Beginner Friendly, Field Work",Intermediate,03-11-25
INT0070,FinTech Product Intern,Tasks are structured and explained; no prior internship experience required. Learn important skills and build a small project while working with the team.,Banking & Financial Services,Retail Banking,"Product Research, SQL, Wireframing, JIRA",12th Pass,Hyderabad,Hybrid,4 Months,English,10000/month,"Jupyter, MATLAB, Postman","Women Preferred, Paid Internship",Intermediate,09-02-26
INT0071,FinTech Product Intern,Tasks are structured and explained; no prior internship experience required. Entry-level friendly role with practical exposure and regular feedback.,Banking & Financial Services,Risk,"Product Research, SQL, Wireframing, JIRA",UG,"Kalahandi, Odisha",Hybrid,5 Months,"English, Odia",5000/month,"Docker, AutoCAD, Git","Remote Friendly, Paid Internship",Intermediate,18-01-26
