InternshipID,Title,Description,Sector,Subsector,RequiredSkills,EducationLevel,Mode,Duration,Language,Stipend,ToolsUsed,Tags,ExperienceLevel,LastDateToApply,City,State
INT0022,renewable energy analyst intern,"Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",12Th Pass,Offline,2 Months,English,15000/month,"slack, autocad, jupyter","field work, skill development",Beginner,13-01-26,Kolkata,unknown
INT0023,renewable energy analyst intern,"Tasks are structured and explained; no prior internship experience required. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",12Th Pass,Offline,6 Months,"English, Hindi",15000/month,"figma, slack, zoom","rural outreach, skill development",Intermediate,06-01-26,Chandigarh,unknown
INT0024,field operations intern,Field visits or remote tasks may be included depending on the project. Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Power Systems,"safety protocols, field survey, report writing, measurement tools",Diploma,Online,2 Months,"English, Malayalam",0/month,"autocad, slack, trello","field work, rural outreach",Intermediate,11-12-25,Wayanad,Kerala
INT0025,renewable energy analyst intern,Field visits or remote tasks may be included depending on the project. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",Pg,Online,1 Month,"English, Hindi",10000/month,"trello, jira, matlab","field work, paid internship",Intermediate,08-02-26,Hyderabad,unknown
INT0026,field operations intern,"Field visits or remote tasks may be included depending on the project. You will get support from a mentor and clear daily tasks to follow. Good for first-time interns, this role focuses on simple, guided tasks.","Oil, Gas & Energy",Pipeline Operations,"safety protocols, field survey, report writing, measurement tools",Ug,Offline,4 Months,English,0/month,"autocad, jira, power bi","field work, women preferred",Intermediate,16-12-25,Delhi,unknown
INT0027,field operations intern,"Good for first-time interns, this role focuses on simple, guided tasks. Tasks are structured and explained; no prior internship experience required. Learn important skills and build a small project while working with the team.","Oil, Gas & Energy",Pipeline Operations,"safety protocols, field survey, report writing, measurement tools",12Th Pass,Hybrid,6 Months,"English, Hindi",3000/month,"power bi, postman, zoom","skill development, government scheme aligned",Intermediate,17-12-25,Lucknow,unknown
INT0028,process engineering intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Field visits or remote tasks may be included depending on the project. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Pipeline Operations,"process simulation, autocad, ms office, data analysis",Ug,Hybrid,4 Months,English,15000/month,"vs code, autocad, jupyter","government scheme aligned, women preferred",Intermediate,08-03-26,Lucknow,unknown
INT0029,field operations intern,"Field visits or remote tasks may be included depending on the project. Good for first-time interns, this role focuses on simple, guided tasks.","Oil, Gas & Energy",Power Systems,"safety protocols, field survey, report writing, measurement tools",Pg,Online,4 Months,English,10000/month,"postman, figma, jupyter","women preferred, paid internship",Intermediate,25-02-26,Bengaluru,unknown
INT0030,renewable energy analyst intern,"You will get support from a mentor and clear daily tasks to follow. Field visits or remote tasks may be included depending on the project. Good for first-time interns, this role focuses on simple, guided tasks.","Oil, Gas & Energy",Pipeline Operations,"energy modelling, excel, power systems, matlab",Ug,Offline,2 Months,English,3000/month,"figma, matlab, tableau","women preferred, remote friendly",Beginner,01-11-25,Delhi,unknown
INT0031,process engineering intern,"Learn important skills and build a small project while working with the team. Field visits or remote tasks may be included depending on the project. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"process simulation, autocad, ms office, data analysis",Ug,Offline,5 Months,"English, Marathi",15000/month,"tableau, trello, postman","women preferred, beginner friendly",Intermediate,30-01-26,Nanded,Maharashtra
INT0032,field operations intern,Field visits or remote tasks may be included depending on the project. Entry-level friendly role with practical exposure and regular feedback.,"Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",Ug,Online,6 Months,"English, Hindi",5000/month,"slack, zoom, jira","field work, government scheme aligned",Beginner,08-11-25,Pune,unknown
INT0033,process engineering intern,Tasks are structured and explained; no prior internship experience required. This Process Engineering Intern at Reliance Industries provides hands-on learning and mentorship. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Power Systems,"process simulation, autocad, ms office, data analysis",12Th Pass,Offline,1 Month,"English, Hindi",3000/month,"postman, trello, figma","remote friendly, skill development",Intermediate,25-02-26,Lucknow,unknown
INT0034,field operations intern,"Tasks are structured and explained; no prior internship experience required. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"safety protocols, field survey, report writing, measurement tools",Ug,Offline,2 Months,English,5000/month,"trello, docker, git","skill development, rural outreach",Intermediate,12-01-26,Chandigarh,unknown
INT0035,process engineering intern,"Entry-level friendly role with practical exposure and regular feedback. You will get support from a mentor and clear daily tasks to follow. Good for first-time interns, this role focuses on simple, guided tasks.","Oil, Gas & Energy",Power Systems,"process simulation, autocad, ms office, data analysis",Pg,Online,6 Months,English,8000/month,"vs code, docker, postman","remote friendly, rural outreach",Beginner,24-11-25,Bhopal,unknown
INT0036,field operations intern,This Field Operations Intern at NTPC provides hands-on learning and mentorship. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",Pg,Offline,2 Months,English,15000/month,"jupyter, figma, autocad","remote friendly, skill development",Beginner,03-12-25,Patna,unknown
INT0037,renewable energy analyst intern,This Renewable Energy Analyst Intern at Reliance Industries provides hands-on learning and mentorship. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Pipeline Operations,"energy modelling, excel, power systems, matlab",Ug,Offline,6 Months,English,5000/month,"figma, jira, vs code","beginner friendly, skill development",Intermediate,19-12-25,Bengaluru,unknown
INT0038,process engineering intern,Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Power Systems,"process simulation, autocad, ms office, data analysis",Diploma,Hybrid,6 Months,English,15000/month,"slack, jupyter, matlab","government scheme aligned, skill development",Intermediate,31-10-25,Chandigarh,unknown
INT0039,process engineering intern,"Tasks are structured and explained; no prior internship experience required. Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Pipeline Operations,"process simulation, autocad, ms office, data analysis",12Th Pass,Offline,4 Months,English,0/month,"trello, jira, autocad","women preferred, field work",Beginner,15-11-25,Raipur,unknown
INT0040,process engineering intern,"Tasks are structured and explained; no prior internship experience required. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Power Systems,"process simulation, autocad, ms office, data analysis",Diploma,Offline,4 Months,English,3000/month,"figma, docker, power bi","skill development, rural outreach",Beginner,23-12-25,Pune,unknown
INT0041,field operations intern,"Tasks are structured and explained; no prior internship experience required. Good for first-time interns, this role focuses on simple, guided tasks. This Field Operations Intern at NTPC provides hands-on learning and mentorship.","Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",Diploma,Hybrid,1 Month,"English, Hindi",10000/month,"slack, jupyter, postman","skill development, paid internship",Beginner,01-12-25,Ranchi,unknown
INT0042,field operations intern,"Learn important skills and build a small project while working with the team. Work on small projects and learn practical tools used in the oil, gas & energy sector. This Field Operations Intern at Reliance Industries provides hands-on learning and mentorship.","Oil, Gas & Energy",Pipeline Operations,"safety protocols, field survey, report writing, measurement tools",Ug,Offline,5 Months,"English, Hindi",10000/month,"jira, trello, matlab","field work, rural outreach",Intermediate,09-12-25,Pune,unknown
INT0043,renewable energy analyst intern,"Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Power Systems,"energy modelling, excel, power systems, matlab",12Th Pass,Online,2 Months,English,15000/month,"docker, zoom, matlab","government scheme aligned, remote friendly",Intermediate,15-12-25,Guwahati,unknown
INT0044,renewable energy analyst intern,"Tasks are structured and explained; no prior internship experience required. Good for first-time interns, this role focuses on simple, guided tasks. You will get support from a mentor and clear daily tasks to follow.","Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",Ug,Hybrid,3 Months,English,15000/month,"vs code, autocad, docker","beginner friendly, skill development",Beginner,12-12-25,Hyderabad,unknown
INT0045,renewable energy analyst intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required. This Renewable Energy Analyst Intern at NTPC provides hands-on learning and mentorship.","Oil, Gas & Energy",Pipeline Operations,"energy modelling, excel, power systems, matlab",Pg,Offline,4 Months,English,0/month,"power bi, autocad, figma","remote friendly, beginner friendly",Beginner,22-02-26,Patna,unknown
INT0046,field operations intern,"Good for first-time interns, this role focuses on simple, guided tasks. Entry-level friendly role with practical exposure and regular feedback.","Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",Ug,Offline,4 Months,"English, Hindi",5000/month,"postman, power bi, trello","government scheme aligned, women preferred",Intermediate,06-03-26,Ranchi,unknown
INT0047,field operations intern,Tasks are structured and explained; no prior internship experience required. This Field Operations Intern at Tata Power provides hands-on learning and mentorship. Entry-level friendly role with practical exposure and regular feedback.,"Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",12Th Pass,Online,1 Month,English,8000/month,"docker, matlab, power bi","women preferred, rural outreach",Beginner,13-12-25,Pune,unknown
INT0048,field operations intern,You will get support from a mentor and clear daily tasks to follow. Field visits or remote tasks may be included depending on the project.,"Oil, Gas & Energy",Power Systems,"safety protocols, field survey, report writing, measurement tools",Ug,Online,4 Months,"English, Malayalam",0/month,"tableau, slack, autocad","rural outreach, women preferred",Intermediate,19-10-25,Wayanad,Kerala
INT0049,process engineering intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Learn important skills and build a small project while working with the team. This Process Engineering Intern at Tata Power provides hands-on learning and mentorship.","Oil, Gas & Energy",Power Systems,"process simulation, autocad, ms office, data analysis",Pg,Offline,1 Month,"English, Hindi",8000/month,"matlab, zoom, postman","skill development, rural outreach",Beginner,04-02-26,Bageshwar,Uttarakhand
INT0050,process engineering intern,"Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"process simulation, autocad, ms office, data analysis",Ug,Hybrid,5 Months,English,10000/month,"git, figma, autocad","government scheme aligned, women preferred",Beginner,14-11-25,Delhi,unknown
INT0051,credit analysis intern,Tasks are structured and explained; no prior internship experience required. This Credit Analysis Intern at Kotak Mahindra Bank provides hands-on learning and mentorship.,Banking & Financial Services,Risk,"accounting, financial statement analysis, excel, communication",Pg,Offline,3 Months,"English, Hindi",15000/month,"jupyter, vs code, jira","skill development, field work",Beginner,11-01-26,Patna,unknown
INT0052,credit analysis intern,Tasks are structured and explained; no prior internship experience required. Field visits or remote tasks may be included depending on the project. This Credit Analysis Intern at State Bank of India provides hands-on learning and mentorship.,Banking & Financial Services,Retail Banking,"accounting, financial statement analysis, excel, communication",12Th Pass,Hybrid,1 Month,"English, Marathi",15000/month,"postman, tableau, docker","skill development, remote friendly",Beginner,01-01-26,Gadchiroli,Maharashtra
INT0053,credit analysis intern,Work on small projects and learn practical tools used in the banking & financial services sector. Tasks are structured and explained; no prior internship experience required. This Credit Analysis Intern at Axis Bank provides hands-on learning and mentorship.,Banking & Financial Services,Risk,"accounting, financial statement analysis, excel, communication",12Th Pass,Online,1 Month,"English, Hindi",15000/month,"power bi, figma, slack","rural outreach, women preferred",Beginner,19-02-26,Hyderabad,unknown
INT0054,risk analytics intern,Work on small projects and learn practical tools used in the banking & financial services sector. You will get support from a mentor and clear daily tasks to follow.,Banking & Financial Services,Risk,"excel, financial modelling, sql, power bi",Ug,Offline,4 Months,"English, Hindi",8000/month,"slack, docker, tableau","rural outreach, paid internship",Beginner,03-03-26,Chandigarh,unknown
INT0055,credit analysis intern,Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow. Work on small projects and learn practical tools used in the banking & financial services sector.,Banking & Financial Services,FinTech,"accounting, financial statement analysis, excel, communication",Diploma,Hybrid,5 Months,"English, Hindi",15000/month,"docker, vs code, postman","women preferred, rural outreach",Beginner,17-02-26,Delhi,unknown
INT0056,risk analytics intern,This Risk Analytics Intern at Axis Bank provides hands-on learning and mentorship. Work on small projects and learn practical tools used in the banking & financial services sector. Learn important skills and build a small project while working with the team.,Banking & Financial Services,FinTech,"excel, financial modelling, sql, power bi",Diploma,Offline,1 Month,"English, Odia",5000/month,"matlab, docker, postman","skill development, paid internship",Advanced,08-11-25,Nabarangpur,Odisha
INT0057,credit analysis intern,Field visits or remote tasks may be included depending on the project. Entry-level friendly role with practical exposure and regular feedback. This Credit Analysis Intern at HDFC Bank provides hands-on learning and mentorship.,Banking & Financial Services,Risk,"accounting, financial statement analysis, excel, communication",Pg,Online,6 Months,"English, Hindi",3000/month,"trello, autocad, vs code","beginner friendly, paid internship",Intermediate,07-12-25,Lucknow,unknown
INT0058,fintech product intern,"Work on small projects and learn practical tools used in the banking & financial services sector. Good for first-time interns, this role focuses on simple, guided tasks.",Banking & Financial Services,Retail Banking,"product research, sql, wireframing, jira",Diploma,Hybrid,1 Month,"English, Hindi",10000/month,"jupyter, slack, autocad","government scheme aligned, beginner friendly",Intermediate,20-01-26,Kolkata,unknown
INT0059,fintech product intern,You will get support from a mentor and clear daily tasks to follow. This FinTech Product Intern at State Bank of India provides hands-on learning and mentorship.,Banking & Financial Services,FinTech,"product research, sql, wireframing, jira",Pg,Offline,3 Months,English,5000/month,"trello, vs code, slack","skill development, government scheme aligned",Intermediate,16-11-25,Delhi,unknown
INT0060,credit analysis intern,"Work on small projects and learn practical tools used in the banking & financial services sector. Good for first-time interns, this role focuses on simple, guided tasks.",Banking & Financial Services,Risk,"accounting, financial statement analysis, excel, communication",Ug,Online,4 Months,English,15000/month,"zoom, docker, postman","remote friendly, skill development",Beginner,13-12-25,Guwahati,unknown
INT0061,fintech product intern,Learn important skills and build a small project while working with the team. This FinTech Product Intern at State Bank of India provides hands-on learning and mentorship. Entry-level friendly role with practical exposure and regular feedback.,Banking & Financial Services,Risk,"product research, sql, wireframing, jira",Ug,Offline,3 Months,"English, Hindi",3000/month,"trello, docker, jupyter","paid internship, women preferred",Beginner,25-02-26,Lucknow,unknown
INT0062,credit analysis intern,You will get support from a mentor and clear daily tasks to follow. Entry-level friendly role with practical exposure and regular feedback. This Credit Analysis Intern at HDFC Bank provides hands-on learning and mentorship.,Banking & Financial Services,FinTech,"accounting, financial statement analysis, excel, communication",Ug,Hybrid,6 Months,English,8000/month,"postman, zoom, slack","field work, beginner friendly",Intermediate,08-03-26,Raipur,unknown
INT0063,fintech product intern,Learn important skills and build a small project while working with the team. Field visits or remote tasks may be included depending on the project. Work on small projects and learn practical tools used in the banking & financial services sector.,Banking & Financial Services,Risk,"product research, sql, wireframing, jira",Diploma,Hybrid,2 Months,"English, Hindi",0/month,"zoom, jira, matlab","skill development, beginner friendly",Beginner,16-02-26,Lucknow,unknown
INT0064,credit analysis intern,Field visits or remote tasks may be included depending on the project. This Credit Analysis Intern at State Bank of India provides hands-on learning and mentorship.,Banking & Financial Services,Risk,"accounting, financial statement analysis, excel, communication",Ug,Offline,1 Month,English,3000/month,"figma, slack, autocad","skill development, women preferred",Intermediate,02-01-26,Kolkata,unknown
INT0065,fintech product intern,"Good for first-time interns, this role focuses on simple, guided tasks. Entry-level friendly role with practical exposure and regular feedback. This FinTech Product Intern at HDFC Bank provides hands-on learning and mentorship.",Banking & Financial Services,FinTech,"product research, sql, wireframing, jira",Ug,Hybrid,4 Months,"English, Hindi",15000/month,"jira, jupyter, autocad","paid internship, women preferred",Beginner,21-02-26,Raipur,unknown
INT0066,credit analysis intern,"You will get support from a mentor and clear daily tasks to follow. Good for first-time interns, this role focuses on simple, guided tasks. Entry-level friendly role with practical exposure and regular feedback.",Banking & Financial Services,Retail Banking,"accounting, financial statement analysis, excel, communication",Ug,Online,3 Months,English,8000/month,"jupyter, postman, slack","rural outreach, paid internship",Beginner,16-02-26,Bengaluru,unknown
INT0067,credit analysis intern,"This Credit Analysis Intern at Axis Bank provides hands-on learning and mentorship. Good for first-time interns, this role focuses on simple, guided tasks. You will get support from a mentor and clear daily tasks to follow.",Banking & Financial Services,Retail Banking,"accounting, financial statement analysis, excel, communication",Ug,Online,6 Months,"English, Marathi",5000/month,"slack, docker, figma","paid internship, skill development",Beginner,03-01-26,Nanded,Maharashtra
INT0068,risk analytics intern,"Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project.",Banking & Financial Services,Retail Banking,"excel, financial modelling, sql, power bi",12Th Pass,Online,3 Months,English,3000/month,"vs code, figma, power bi","paid internship, remote friendly",Intermediate,19-02-26,Pune,unknown
INT0069,credit analysis intern,Entry-level friendly role with practical exposure and regular feedback. Field visits or remote tasks may be included depending on the project.,Banking & Financial Services,Retail Banking,"accounting, financial statement analysis, excel, communication",Ug,Online,2 Months,"English, Hindi",10000/month,"zoom, figma, vs code","beginner friendly, field work",Intermediate,03-11-25,Ranchi,unknown
INT0070,fintech product intern,Tasks are structured and explained; no prior internship experience required. Learn important skills and build a small project while working with the team.,Banking & Financial Services,Retail Banking,"product research, sql, wireframing, jira",12Th Pass,Hybrid,4 Months,English,10000/month,"jupyter, matlab, postman","women preferred, paid internship",Intermediate,09-02-26,Hyderabad,unknown
INT0071,fintech product intern,Tasks are structured and explained; no prior internship experience required. Entry-level friendly role with practical exposure and regular feedback.,Banking & Financial Services,Risk,"product research, sql, wireframing, jira",Ug,Hybrid,5 Months,"English, Odia",5000/month,"docker, autocad, git","remote friendly, paid internship",Intermediate,18-01-26,Kalahandi,Odisha
INT0072,risk analytics intern,Tasks are structured and explained; no prior internship experience required. Learn important skills and build a small project while working with the team. Field visits or remote tasks may be included depending on the project.,Banking & Financial Services,Risk,"excel, financial modelling, sql, power bi",Diploma,Offline,5 Months,English,15000/month,"power bi, tableau, matlab","field work, paid internship",Advanced,13-02-26,Bengaluru,unknown
INT0073,risk analytics intern,Entry-level friendly role with practical exposure and regular feedback. Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow.,Banking & Financial Services,Risk,"excel, financial modelling, sql, power bi",Pg,Offline,4 Months,English,3000/month,"trello, jira, docker","skill development, paid internship",Intermediate,20-12-25,Raipur,unknown
INT0074,risk analytics intern,"Work on small projects and learn practical tools used in the banking & financial services sector. Good for first-time interns, this role focuses on simple, guided tasks. You will get support from a mentor and clear daily tasks to follow.",Banking & Financial Services,FinTech,"excel, financial modelling, sql, power bi",12Th Pass,Online,4 Months,"English, Hindi",0/month,"matlab, postman, jira","rural outreach, government scheme aligned",Beginner,21-02-26,Dantewada,Chhattisgarh
INT0075,credit analysis intern,Work on small projects and learn practical tools used in the banking & financial services sector. Field visits or remote tasks may be included depending on the project. You will get support from a mentor and clear daily tasks to follow.,Banking & Financial Services,FinTech,"accounting, financial statement analysis, excel, communication",Pg,Online,5 Months,"English, Hindi",10000/month,"slack, vs code, autocad","women preferred, beginner friendly",Intermediate,29-12-25,Ranchi,unknown
INT0076,risk analytics intern,Entry-level friendly role with practical exposure and regular feedback. This Risk Analytics Intern at Kotak Mahindra Bank provides hands-on learning and mentorship. Work on small projects and learn practical tools used in the banking & financial services sector.,Banking & Financial Services,Retail Banking,"excel, financial modelling, sql, power bi",Pg,Hybrid,5 Months,"English, Marathi",15000/month,"autocad, tableau, git","government scheme aligned, remote friendly",Beginner,19-12-25,Palghar,Maharashtra
